ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
3.0,Adelaide,Adelaide International,2026-01-12,ATP250,Outdoor,Hard,1st Round,3,Kokkinakis T.,Korda S.,133.0,22.0,0.0,476.0,3.0,6.0,6.0,3.0,7.0,6.0,,,,,2.0,1.0,Completed,3.5,1.3,3.47,1.35,3.6,1.35,3.37,1.31,3.55,1.38
4.0,Auckland,ASB Classic,2026-01-13,ATP250,Outdoor,Hard,1st Round,3,Mpetshi G.,Bautista Agut R.,83.0,91.0,26.0,20.0,6.0,3.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.44,2.75,1.4,3.19,1.47,3.1,1.4,2.88,1.4,3.4
4.0,Auckland,ASB Classic,2026-01-13,ATP250,Outdoor,Hard,1st Round,3,Giron M.,Muller A.,49.0,85.0,150.0,23.0,6.0,2.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.8,2.0,1.88,2.0,1.8,2.12,1.74,2.05,1.82,2.18
4.0,Auckland,ASB Classic,2026-01-13,ATP250,Outdoor,Hard,1st Round,3,Medjedovic H.,Kovacevic A.,114.0,53.0,10.0,105.0,6.0,4.0,3.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed,1.44,2.75,1.53,2.67,1.5,2.8,1.46,2.67,1.54,2.8
4.0,Auckland,ASB Classic,2026-01-13,ATP250,Outdoor,Hard,1st Round,3,Marozsan F.,Monfils G.,39.0,89.0,195.0,20.0,5.0,7.0,6.0,3.0,6.0,4.0,,,,,2.0,1.0,Completed,1.62,2.3,1.67,2.33,1.65,2.38,1.6,2.3,1.64,2.5
4.0,Auckland,ASB Classic,2026-01-13,ATP250,Outdoor,Hard,1st Round,3,Borges N.,Etcheverry T.,64.0,11.0,78.0,873.0,7.0,5.0,3.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed,1.8,2.0,1.88,2.0,1.85,2.0,1.81,1.96,1.87,2.14
4.0,Auckland,ASB Classic,2026-01-13,ATP250,Outdoor,Hard,2nd Round,3,Giron M.,Michelsen A.,49.0,33.0,150.0,240.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.91,1.91,,,2.02,1.91,1.96,1.81,2.12,1.87
3.0,Adelaide,Adelaide International,2026-01-13,ATP250,Outdoor,Hard,1st Round,3,Hijikata R.,Schoolkate T.,59.0,162.0,95.0,0.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.62,2.3,1.71,2.25,1.67,2.3,1.63,2.23,1.8,2.22
3.0,Adelaide,Adelaide International,2026-01-13,ATP250,Outdoor,Hard,1st Round,3,Vukic A.,Tsitsipas S.,103.0,69.0,13.0,65.0,7.0,6.0,7.0,6.0,,,,,,,2.0,0.0,Completed,3.75,1.29,,,3.75,1.32,3.51,1.29,4.0,1.32
3.0,Adelaide,Adelaide International,2026-01-13,ATP250,Outdoor,Hard,1st Round,3,Fucsovics M.,Quinn E.,71.0,61.0,55.0,90.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.8,2.0,1.74,2.21,1.9,2.05,1.79,1.98,1.89,2.06
