number,value,state,params_colsample_bytree,params_extra_trees,params_learning_rate,params_max_bin,params_max_depth,params_min_child_samples,params_min_child_weight,params_min_split_gain,params_num_leaves,params_path_smooth,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,user_attrs_best_iteration,duration
78,0.6048290190152067,COMPLETE,0.6969295459683708,False,0.04079558986842829,511,7,176,0.03413875029862193,0.14433117398919904,252,0.09725223419328091,7.799274134935676e-07,2.4209721367026803e-05,0.579551743376624,4,168.0,0 days 00:00:13.969382
79,0.6059217672589284,COMPLETE,0.5426044544052733,False,0.041419078532676616,511,10,34,0.34801105605457944,0.21426258382281285,25,0.33089663212218645,0.056489847238080496,8.966983913407789e-07,0.624742731474274,3,220.0,0 days 00:00:15.307519
80,0.6042100270432575,COMPLETE,0.706663108905756,False,0.03328090627373444,511,5,89,0.00020637993983638818,0.3216583867164731,238,1.0321468168485817,0.12412200362231231,1.6309927074381416e-08,0.9811305983579292,5,512.0,0 days 00:00:29.485874
81,0.6046692805836671,COMPLETE,0.6253188866577558,False,0.04150436801751158,511,6,143,0.0031734017928553328,0.3791025542929445,157,0.6176073210357897,1.0864482243708338,6.240749713151945e-06,0.9411880398949213,6,268.0,0 days 00:00:18.097807
82,0.605074321265282,COMPLETE,0.5457417648745474,False,0.032091106171082844,511,6,38,0.003100632851574691,0.3081981669199129,249,1.2313043593362394,0.47116099513549675,1.0941354853924701e-07,0.9420229236328789,5,237.0,0 days 00:00:17.234391
83,0.6119939322257978,PRUNED,0.9474426218026288,False,0.013500967561226021,127,12,147,1.2979571614560914,0.35251185146971825,135,0.6816807261292384,0.384387377050485,5.252103700104132e-08,0.8948694672546715,6,,0 days 00:00:07.232814
84,0.6097378661328693,PRUNED,0.8994927333807425,False,0.021608250336825317,511,7,69,0.0007674577769576647,0.3854862325315164,207,1.3809339631287831,0.03243824294841848,4.884439010871039e-07,0.9754017377239789,2,,0 days 00:00:07.645725
85,0.6043875858989292,COMPLETE,0.8098917678927082,False,0.017145722712658528,511,5,173,4.069027454731393,0.34943379858038737,185,0.3379140884625146,0.02093637123816898,0.000510531789022023,0.6000280190576516,3,638.0,0 days 00:00:35.546660
86,0.613434436738353,PRUNED,0.6568671674049282,True,0.027989242218360716,511,5,156,3.118184278904102,0.28426040021085636,160,0.45638322188321767,0.007718730523566509,0.004660231722236695,0.6595518178764556,2,,0 days 00:00:03.480682
87,0.6046584546964712,COMPLETE,0.7760317091926309,False,0.01245742463696527,127,8,44,0.0002140708336160622,0.3652408303655236,247,1.0182578818956132,0.6341523431791185,1.1021800365308391e-07,0.9545817053863186,7,466.0,0 days 00:00:34.431314
88,0.6054092257468008,COMPLETE,0.7787395394629022,False,0.04588083355978823,511,5,149,0.0002792178712925327,0.26141435262622675,245,0.5139207478179166,0.0005610448634086133,1.7810880280917476e-08,0.9726710853979578,3,252.0,0 days 00:00:16.928322
89,0.6076663876702454,PRUNED,0.7571738510110522,False,0.010505330480688482,511,6,191,1.9777927456472268,0.49613585357666756,167,0.0051701428461670695,1.2181489669397756e-05,1.0657498371794571e-06,0.6771132973274183,3,,0 days 00:00:13.602642
90,0.6047721281597368,COMPLETE,0.8008281942575924,False,0.04903013387967313,127,4,91,0.009260906093681296,0.18834812556619465,231,0.5698400182214869,0.005000344238854153,0.0005399266496339045,0.631122442833078,4,277.0,0 days 00:00:14.276024
91,0.6069452931205462,PRUNED,0.825544032048275,False,0.015418711683162063,511,5,129,4.299059892379209,0.23631355204928156,211,0.16444132286571936,0.31242466116186596,0.000288275876864039,0.5355187831012216,3,,0 days 00:00:11.985475
92,0.6143758878189247,PRUNED,0.785652289158893,True,0.010218013312808055,255,4,47,0.3585026444650644,0.0013693256042185786,48,0.021736881145263974,0.22464468642554633,0.13067057419483513,0.8503614091961832,0,,0 days 00:00:10.152185
93,0.6113130789366681,PRUNED,0.8181086499659515,False,0.028763499912785942,255,4,49,0.0002214410056098315,0.3381143294921553,178,0.46130550129531656,0.00015649329920534025,5.262268499468547e-06,0.9844211325350181,6,,0 days 00:00:04.086637
94,0.6108305490359383,PRUNED,0.9686689214288844,False,0.01839777447616969,255,11,82,4.917304517921063,0.4818487157112876,125,1.5697206200948606,9.605731004002044,8.959380287410229e-07,0.923687280400486,4,,0 days 00:00:06.965004
95,0.6058008012543139,COMPLETE,0.765633220211463,False,0.04184533725349711,255,10,113,0.14531336241884832,0.24491351829271873,59,0.2819494075118216,0.2100723521516083,2.930137797324886e-08,0.668189324039971,5,140.0,0 days 00:00:14.108584
96,0.6183037572963334,PRUNED,0.9717713311919254,False,0.008580379973946936,127,11,38,0.0013118420341708683,0.18743810002408012,231,0.40707725562665087,0.0001104324218620881,5.322143501370699e-08,0.9915324885677153,7,,0 days 00:00:10.127988
97,0.6152756738876375,PRUNED,0.748132104649497,True,0.02567669455050116,511,4,74,0.0002152603565848234,0.3252321714303564,232,0.8177853604838703,0.05162528123013304,3.00357023350018e-06,0.938304692599224,4,,0 days 00:00:03.742658
98,0.6063238528507626,COMPLETE,0.8152471497506452,False,0.044923022436007716,127,8,43,9.395302505540817,0.3900418462732315,103,0.9305747639446241,0.5646178932076594,3.130492122423915e-05,0.955556101097399,5,104.0,0 days 00:00:12.527639
99,0.6068887620168816,PRUNED,0.853873127660327,False,0.022122751527000602,255,4,125,0.0002206790302954142,0.04063303928414226,137,0.04641037326977537,0.00024194031112326875,0.2508495227261189,0.7833773563091605,0,,0 days 00:00:10.707268
100,0.6041934207119951,COMPLETE,0.8605357240062128,False,0.026213502379721327,511,7,85,0.007747594186058659,0.1247698050497516,20,0.5581268362746875,0.0082346608766152,4.871014296191076e-07,0.6659466261864113,3,531.0,0 days 00:00:33.046059
101,0.605792193495,PRUNED,0.7680490098117385,False,0.041240656004875115,511,7,129,0.09791629743212735,0.16358099367029366,25,0.6080571662329712,0.05298331136708797,9.476577406360025e-06,0.719499242421451,3,,0 days 00:00:13.315982
